Start_Time,End_Time,Text,Confidence
0.9,1.4,Hallie,0.655
15.9,17.5, and please feel free to tell me,0.852
23.2,26, okay yes,0.849
29.3,31.2, yeah yes I'm okay with this,0.887
36.2,36.9, yes,0.744
41.4,42.2, pretty good,0.897
55.7,56.7, Minnesota,0.696
70.6,73.4, I love the weather and,0.802
76.6,78.9, yeah it's I'll just go at the weather for now,0.83
90.7,95.3, the lack of nature in these stretches of,0.841
96.7,100.1, urban stuff yes a fair amount,0.883
119,125.1, sees snowboarding with my best friends at cool places,0.706
132.4,133.3, science,0.788
135,135.6, physics,0.762
141.8,142.8, psychology,0.742
149.3,149.8, Steven,0.694
160.8,166, I'd like to create deep learning neural networks,0.807
167.8,169.9, for some company I'll be cool,0.856
175.9,177.4, I'm generally more shy,0.767
186.1,190.8, it is very good,0.888
193.8,194.7, very healthy,0.82
207.8,213.4, I just hang out and play video games with my roommate generally it's a relaxed skateboard,0.869
222.1,226.3, it sound like I'm on the less Adept side of that but,0.797
227.8,229.4, I'm decent at controlling it,0.86
242.6,243.4, I don't remember,0.809
257.1,260.4, I should have taken this girl out again after I took her out once,0.803
267.4,269.3, breaking up with my girlfriend last year,0.797
277,280.1, I've ever had to make,0.887
284.8,287.4, probably that so far,0.906
299.1,299.6, hmm,0.63
303.6,304.7, I regret nothing,0.754
320.1,323.2, that's a tricky question but I don't I can't think of anything,0.826
327.5,328, now,0.727
343,343.9, pretty good,0.905
346.1,347.6, six or seven out of ten,0.715
360.6,362, no I don't think so,0.854
373.8,374.5, mmm,0.741
376.8,377.9, that's super easy,0.812
389.3,392.3, I'm definitely more irritable and anxious,0.868
404.8,407.1, yes yes definitely,0.813
423,426.1, don't stress what people are thinking about you and just do you,0.877
437.9,444.8, snowboarding with my brother this weekend or when I won Fortnight this weekend with my homies,0.879
456.5,461, my parents my brother all my friends yeah,0.913
464.5,465.4, mmm,0.771
469.9,474.4, I don't know hard to get excited but then when I am excited I'm pretty I don't shut up,0.771
482.1,483.9, snowboarding with my friends,0.844
501.8,502.9, not that much,0.861
